x,ichiman,gosen,sen,gohyaku,hyaku,goju,ju,go,ichi
525733,52,1,0,1,2,0,3,0,3
623093,62,0,3,0,0,1,4,0,3
896250,89,1,1,0,2,1,0,0,0
238063,23,1,3,0,0,1,1,0,3
760658,76,0,0,1,1,1,0,1,3
601574,60,0,1,1,0,1,2,0,4
533910,53,0,3,1,4,0,1,0,0
991799,99,0,1,1,2,1,4,1,4
506170,50,1,1,0,1,1,2,0,0
149113,14,1,4,0,1,0,1,0,3
372163,37,0,2,0,1,1,1,0,3
224981,22,0,4,1,4,1,3,0,1
588589,58,1,3,1,0,1,3,1,4
945738,94,1,0,1,2,0,3,1,3
280805,28,0,0,1,3,0,0,1,0
357094,35,1,2,0,0,1,4,0,4
21512,2,0,1,1,0,0,1,0,2
668536,66,1,3,1,0,0,3,1,1
956077,95,1,1,0,0,1,2,1,2
397204,39,1,2,0,2,0,0,0,4
192521,19,0,2,1,0,0,2,0,1
182339,18,0,2,0,3,0,3,1,4
588639,58,1,3,1,1,0,3,1,4
712155,71,0,2,0,1,1,0,1,0
536187,53,1,1,0,1,1,3,1,2
299385,29,1,4,0,3,1,3,1,0
295320,29,1,0,0,3,0,2,0,0
478123,47,1,3,0,1,0,2,0,3
837141,83,1,2,0,1,0,4,0,1
700423,70,0,0,0,4,0,2,0,3
148960,14,1,3,1,4,1,1,0,0
21875,2,0,1,1,3,1,2,1,0
541181,54,0,1,0,1,1,3,0,1
179157,17,1,4,0,1,1,0,1,2
532276,53,0,2,0,2,1,2,1,1
451754,45,0,1,1,2,1,0,0,4
20273,2,0,0,0,2,1,2,0,3
371821,37,0,1,1,3,0,2,0,1
319964,31,1,4,1,4,1,1,0,4
884066,88,0,4,0,0,1,1,1,1
983686,98,0,3,1,1,1,3,1,1
247975,24,1,2,1,4,1,2,1,0
710529,71,0,0,1,0,0,2,1,4
457443,45,1,2,0,4,0,4,0,3
206677,20,1,1,1,1,1,2,1,2
862832,86,0,2,1,3,0,3,0,2
14351,1,0,4,0,3,1,0,0,1
373460,37,0,3,0,4,1,1,0,0
519627,51,1,4,1,1,0,2,1,2
258406,25,1,3,0,4,0,0,1,1
795827,79,1,0,1,3,0,2,1,2
165386,16,1,0,0,3,1,3,1,1
869502,86,1,4,1,0,0,0,0,2
316218,31,1,1,0,2,0,1,1,3
701322,70,0,1,0,3,0,2,0,2
896591,89,1,1,1,0,1,4,0,1
762379,76,0,2,0,3,1,2,1,4
962911,96,0,2,1,4,0,1,0,1
515238,51,1,0,0,2,0,3,1,3
924285,92,0,4,0,2,1,3,1,0
527156,52,1,2,0,1,1,0,1,1
816543,81,1,1,1,0,0,4,0,3
365848,36,1,0,1,3,0,4,1,3
355237,35,1,0,0,2,0,3,1,2
209519,20,1,4,1,0,0,1,1,4
662485,66,0,2,0,4,1,3,1,0
859834,85,1,4,1,3,0,3,0,4
486796,48,1,1,1,2,1,4,1,1
208802,20,1,3,1,3,0,0,0,2
740626,74,0,0,1,1,0,2,1,1
11976,1,0,1,1,4,1,2,1,1
133059,13,0,3,0,0,1,0,1,4
853286,85,0,3,0,2,1,3,1,1
456836,45,1,1,1,3,0,3,1,1
742064,74,0,2,0,0,1,1,0,4
856335,85,1,1,0,3,0,3,1,0
689158,68,1,4,0,1,1,0,1,3
115219,11,1,0,0,2,0,1,1,4
737934,73,1,2,1,4,0,3,0,4
623828,62,0,3,1,3,0,2,1,3
489354,48,1,4,0,3,1,0,0,4
815221,81,1,0,0,2,0,2,0,1
722096,72,0,2,0,0,1,4,1,1
117000,11,1,2,0,0,0,0,0,0
859984,85,1,4,1,4,1,3,0,4
901852,90,0,1,1,3,1,0,0,2
284989,28,0,4,1,4,1,3,1,4
414105,41,0,4,0,1,0,0,1,0
261217,26,0,1,0,2,0,1,1,2
284030,28,0,4,0,0,0,3,0,0
883674,88,0,3,1,1,1,2,0,4
248642,24,1,3,1,1,0,4,0,2
312593,31,0,2,1,0,1,4,0,3
678250,67,1,3,0,2,1,0,0,0
4542,0,0,4,1,0,0,4,0,2
16048,1,1,1,0,0,0,4,1,3
802439,80,0,2,0,4,0,3,1,4
708924,70,1,3,1,4,0,2,0,4
418832,41,1,3,1,3,0,3,0,2
953230,95,0,3,0,2,0,3,0,0
636255,63,1,1,0,2,1,0,1,0
164806,16,0,4,1,3,0,0,1,1
180328,18,0,0,0,3,0,2,1,3
23592,2,0,3,1,0,1,4,0,2
357340,35,1,2,0,3,0,4,0,0
317163,31,1,2,0,1,1,1,0,3
716002,71,1,1,0,0,0,0,0,2
591192,59,0,1,0,1,1,4,0,2
610950,61,0,0,1,4,1,0,0,0
85791,8,1,0,1,2,1,4,0,1
74852,7,0,4,1,3,1,0,0,2
577685,57,1,2,1,1,1,3,1,0
891645,89,0,1,1,1,0,4,1,0
826163,82,1,1,0,1,1,1,0,3
438089,43,1,3,0,0,1,3,1,4
423501,42,0,3,1,0,0,0,0,1
225138,22,1,0,0,1,0,3,1,3
273007,27,0,3,0,0,0,0,1,2
880401,88,0,0,0,4,0,0,0,1
570725,57,0,0,1,2,0,2,1,0
838996,83,1,3,1,4,1,4,1,1
897972,89,1,2,1,4,1,2,0,2
101447,10,0,1,0,4,0,4,1,2
602117,60,0,2,0,1,0,1,1,2
329600,32,1,4,1,1,0,0,0,0
403496,40,0,3,0,4,1,4,1,1
630716,63,0,0,1,2,0,1,1,1
955911,95,1,0,1,4,0,1,0,1
158446,15,1,3,0,4,0,4,1,1
482835,48,0,2,1,3,0,3,1,0
949940,94,1,4,1,4,0,4,0,0
337131,33,1,2,0,1,0,3,0,1
502975,50,0,2,1,4,1,2,1,0
956695,95,1,1,1,1,1,4,1,0
216994,21,1,1,1,4,1,4,0,4
721658,72,0,1,1,1,1,0,1,3
997062,99,1,2,0,0,1,1,0,2
621062,62,0,1,0,0,1,1,0,2
188433,18,1,3,0,4,0,3,0,3
742727,74,0,2,1,2,0,2,1,2
608204,60,1,3,0,2,0,0,0,4
725660,72,1,0,1,1,1,1,0,0
967571,96,1,2,1,0,1,2,0,1
921816,92,0,1,1,3,0,1,1,1
72890,7,0,2,1,3,1,4,0,0
635477,63,1,0,0,4,1,2,1,2
67933,6,1,2,1,4,0,3,0,3
252605,25,0,2,1,1,0,0,1,0
952103,95,0,2,0,1,0,0,0,3
674347,67,0,4,0,3,0,4,1,2
62979,6,0,2,1,4,1,2,1,4
910143,91,0,0,0,1,0,4,0,3
425651,42,1,0,1,1,1,0,0,1
919698,91,1,4,1,1,1,4,1,3
369450,36,1,4,0,4,1,0,0,0
432946,43,0,2,1,4,0,4,1,1
526300,52,1,1,0,3,0,0,0,0
495418,49,1,0,0,4,0,1,1,3
955994,95,1,0,1,4,1,4,0,4
421848,42,0,1,1,3,0,4,1,3
576364,57,1,1,0,3,1,1,0,4
840393,84,0,0,0,3,1,4,0,3
901094,90,0,1,0,0,1,4,0,4
315763,31,1,0,1,2,1,1,0,3
542954,54,0,2,1,4,1,0,0,4
217313,21,1,2,0,3,0,1,0,3
758179,75,1,3,0,1,1,2,1,4
804534,80,0,4,1,0,0,3,0,4
588246,58,1,3,0,2,0,4,1,1
812158,81,0,2,0,1,1,0,1,3
784224,78,0,4,0,2,0,2,0,4
362067,36,0,2,0,0,1,1,1,2
618374,61,1,3,0,3,1,2,0,4
278592,27,1,3,1,0,1,4,0,2
847530,84,1,2,1,0,0,3,0,0
414500,41,0,4,1,0,0,0,0,0
77188,7,1,2,0,1,1,3,1,3
878505,87,1,3,1,0,0,0,1,0
508509,50,1,3,1,0,0,0,1,4
389479,38,1,4,0,4,1,2,1,4
502405,50,0,2,0,4,0,0,1,0
960951,96,0,0,1,4,1,0,0,1
73870,7,0,3,1,3,1,2,0,0
460616,46,0,0,1,1,0,1,1,1
130824,13,0,0,1,3,0,2,0,4
357738,35,1,2,1,2,0,3,1,3
566167,56,1,1,0,1,1,1,1,2
897468,89,1,2,0,4,1,1,1,3
105409,10,1,0,0,4,0,0,1,4
249564,24,1,4,1,0,1,1,0,4
510201,51,0,0,0,2,0,0,0,1
531552,53,0,1,1,0,1,0,0,2
782269,78,0,2,0,2,1,1,1,4
687757,68,1,2,1,2,1,0,1,2
675835,67,1,0,1,3,0,3,1,0
247995,24,1,2,1,4,1,4,1,0
579852,57,1,4,1,3,1,0,0,2
657825,65,1,2,1,3,0,2,1,0
548444,54,1,3,0,4,0,4,0,4
959319,95,1,4,0,3,0,1,1,4
379856,37,1,4,1,3,1,0,1,1
222562,22,0,2,1,0,1,1,0,2
778023,77,1,3,0,0,0,2,0,3
843983,84,0,3,1,4,1,3,0,3
861975,86,0,1,1,4,1,2,1,0
58462,5,1,3,0,4,1,1,0,2
603156,60,0,3,0,1,1,0,1,1
138643,13,1,3,1,1,0,4,0,3
273182,27,0,3,0,1,1,3,0,2
517653,51,1,2,1,1,1,0,0,3
888921,88,1,3,1,4,0,2,0,1
707536,70,1,2,1,0,0,3,1,1
256197,25,1,1,0,1,1,4,1,2
787522,78,1,2,1,0,0,2,0,2
18886,1,1,3,1,3,1,3,1,1
363300,36,0,3,0,3,0,0,0,0
517022,51,1,2,0,0,0,2,0,2
446057,44,1,1,0,0,1,0,1,2
444821,44,0,4,1,3,0,2,0,1
353805,35,0,3,1,3,0,0,1,0
321463,32,0,1,0,4,1,1,0,3
639066,63,1,4,0,0,1,1,1,1
836712,83,1,1,1,2,0,1,0,2
874868,87,0,4,1,3,1,1,1,3
912631,91,0,2,1,1,0,3,0,1
935292,93,1,0,0,2,1,4,0,2
252816,25,0,2,1,3,0,1,1,1
709515,70,1,4,1,0,0,1,1,0
33080,3,0,3,0,0,1,3,0,0
21924,2,0,1,1,4,0,2,0,4
386748,38,1,1,1,2,0,4,1,3
83203,8,0,3,0,2,0,0,0,3
870249,87,0,0,0,2,0,4,1,4
358454,35,1,3,0,4,1,0,0,4
429209,42,1,4,0,2,0,0,1,4
427349,42,1,2,0,3,0,4,1,4
29599,2,1,4,1,0,1,4,1,4
442822,44,0,2,1,3,0,2,0,2
772395,77,0,2,0,3,1,4,1,0
148403,14,1,3,0,4,0,0,0,3
862191,86,0,2,0,1,1,4,0,1
69875,6,1,4,1,3,1,2,1,0
102615,10,0,2,1,1,0,1,1,0
510258,51,0,0,0,2,1,0,1,3
242657,24,0,2,1,1,1,0,1,2
235712,23,1,0,1,2,0,1,0,2
89804,8,1,4,1,3,0,0,0,4
799043,79,1,4,0,0,0,4,0,3
603230,60,0,3,0,2,0,3,0,0
225293,22,1,0,0,2,1,4,0,3
287626,28,1,2,1,1,0,2,1,1
384078,38,0,4,0,0,1,2,1,3
836010,83,1,1,0,0,0,1,0,0
799260,79,1,4,0,2,1,1,0,0
146589,14,1,1,1,0,1,3,1,4
533039,53,0,3,0,0,0,3,1,4
266220,26,1,1,0,2,0,2,0,0
776039,77,1,1,0,0,0,3,1,4
541890,54,0,1,1,3,1,4,0,0
698875,69,1,3,1,3,1,2,1,0
201974,20,0,1,1,4,1,2,0,4
232709,23,0,2,1,2,0,0,1,4
745167,74,1,0,0,1,1,1,1,2
176805,17,1,1,1,3,0,0,1,0
854374,85,0,4,0,3,1,2,0,4
653340,65,0,3,0,3,0,4,0,0
234981,23,0,4,1,4,1,3,0,1
160123,16,0,0,0,1,0,2,0,3
777743,77,1,2,1,2,0,4,0,3
950683,95,0,0,1,1,1,3,0,3
672878,67,0,2,1,3,1,2,1,3
362748,36,0,2,1,2,0,4,1,3
377753,37,1,2,1,2,1,0,0,3
488779,48,1,3,1,2,1,2,1,4
88215,8,1,3,0,2,0,1,1,0
484602,48,0,4,1,1,0,0,0,2
955025,95,1,0,0,0,0,2,1,0
849245,84,1,4,0,2,0,4,1,0
386357,38,1,1,0,3,1,0,1,2
156317,15,1,1,0,3,0,1,1,2
446113,44,1,1,0,1,0,1,0,3
913187,91,0,3,0,1,1,3,1,2
476935,47,1,1,1,4,0,3,1,0
66879,6,1,1,1,3,1,2,1,4
997190,99,1,2,0,1,1,4,0,0
688156,68,1,3,0,1,1,0,1,1
377234,37,1,2,0,2,0,3,0,4
573599,57,0,3,1,0,1,4,1,4
369423,36,1,4,0,4,0,2,0,3
153651,15,0,3,1,1,1,0,0,1
60470,6,0,0,0,4,1,2,0,0
102708,10,0,2,1,2,0,0,1,3
515122,51,1,0,0,1,0,2,0,2
125896,12,1,0,1,3,1,4,1,1
537768,53,1,2,1,2,1,1,1,3
368317,36,1,3,0,3,0,1,1,2
688008,68,1,3,0,0,0,0,1,3
709861,70,1,4,1,3,1,1,0,1
920196,92,0,0,0,1,1,4,1,1
30849,3,0,0,1,3,0,4,1,4
509375,50,1,4,0,3,1,2,1,0
971741,97,0,1,1,2,0,4,0,1
238690,23,1,3,1,1,1,4,0,0
181254,18,0,1,0,2,1,0,0,4
391568,39,0,1,1,0,1,1,1,3
168875,16,1,3,1,3,1,2,1,0
142305,14,0,2,0,3,0,0,1,0
961289,96,0,1,0,2,1,3,1,4
628307,62,1,3,0,3,0,0,1,2
893784,89,0,3,1,2,1,3,0,4
469515,46,1,4,1,0,0,1,1,0
395426,39,1,0,0,4,0,2,1,1
625258,62,1,0,0,2,1,0,1,3
387783,38,1,2,1,2,1,3,0,3
713097,71,0,3,0,0,1,4,1,2
343340,34,0,3,0,3,0,4,0,0
162827,16,0,2,1,3,0,2,1,2
582339,58,0,2,0,3,0,3,1,4
960592,96,0,0,1,0,1,4,0,2
328058,32,1,3,0,0,1,0,1,3
962057,96,0,2,0,0,1,0,1,2
494502,49,0,4,1,0,0,0,0,2
956068,95,1,1,0,0,1,1,1,3
647545,64,1,2,1,0,0,4,1,0
469776,46,1,4,1,2,1,2,1,1
683522,68,0,3,1,0,0,2,0,2
194637,19,0,4,1,1,0,3,1,2
774746,77,0,4,1,2,0,4,1,1
556344,55,1,1,0,3,0,4,0,4
194586,19,0,4,1,0,1,3,1,1
182134,18,0,2,0,1,0,3,0,4
155617,15,1,0,1,1,0,1,1,2
114636,11,0,4,1,1,0,3,1,1
223282,22,0,3,0,2,1,3,0,2
229589,22,1,4,1,0,1,3,1,4
758543,75,1,3,1,0,0,4,0,3
356229,35,1,1,0,2,0,2,1,4
510603,51,0,0,1,1,0,0,0,3
713429,71,0,3,0,4,0,2,1,4
813146,81,0,3,0,1,0,4,1,1
442506,44,0,2,1,0,0,0,1,1
797213,79,1,2,0,2,0,1,0,3
868920,86,1,3,1,4,0,2,0,0
233221,23,0,3,0,2,0,2,0,1
623034,62,0,3,0,0,0,3,0,4
759980,75,1,4,1,4,1,3,0,0
460063,46,0,0,0,0,1,1,0,3
258294,25,1,3,0,2,1,4,0,4
446611,44,1,1,1,1,0,1,0,1
185576,18,1,0,1,0,1,2,1,1
998898,99,1,3,1,3,1,4,1,3
157463,15,1,2,0,4,1,1,0,3
759638,75,1,4,1,1,0,3,1,3
457026,45,1,2,0,0,0,2,1,1
557868,55,1,2,1,3,1,1,1,3
153379,15,0,3,0,3,1,2,1,4
440138,44,0,0,0,1,0,3,1,3
835508,83,1,0,1,0,0,0,1,3
522249,52,0,2,0,2,0,4,1,4
63706,6,0,3,1,2,0,0,1,1
136123,13,1,1,0,1,0,2,0,3
813351,81,0,3,0,3,1,0,0,1
919889,91,1,4,1,3,1,3,1,4
385343,38,1,0,0,3,0,4,0,3
899805,89,1,4,1,3,0,0,1,0
429953,42,1,4,1,4,1,0,0,3
778815,77,1,3,1,3,0,1,1,0
768807,76,1,3,1,3,0,0,1,2
686060,68,1,1,0,0,1,1,0,0
74562,7,0,4,1,0,1,1,0,2
401615,40,0,1,1,1,0,1,1,0
985382,98,1,0,0,3,1,3,0,2
96988,9,1,1,1,4,1,3,1,3
735275,73,1,0,0,2,1,2,1,0
903201,90,0,3,0,2,0,0,0,1
759027,75,1,4,0,0,0,2,1,2
190431,19,0,0,0,4,0,3,0,1
215327,21,1,0,0,3,0,2,1,2
44493,4,0,4,0,4,1,4,0,3
676236,67,1,1,0,2,0,3,1,1
8470,0,1,3,0,4,1,2,0,0
141559,14,0,1,1,0,1,0,1,4
883054,88,0,3,0,0,1,0,0,4
4922,0,0,4,1,4,0,2,0,2
948996,94,1,3,1,4,1,4,1,1
299632,29,1,4,1,1,0,3,0,2
524898,52,0,4,1,3,1,4,1,3
988489,98,1,3,0,4,1,3,1,4
392212,39,0,2,0,2,0,1,0,2
320794,32,0,0,1,2,1,4,0,4
216423,21,1,1,0,4,0,2,0,3
287955,28,1,2,1,4,1,0,1,0
709360,70,1,4,0,3,1,1,0,0
897857,89,1,2,1,3,1,0,1,2
